model,phrase,wer,transcribe_time_s,audio_duration_s,rtf
small,01,0.077,0.597,5.402687,9.05
small,02,0.000,0.584,5.396312,9.24
small,03,0.000,0.599,5.413312,9.04
small,04,0.125,0.598,5.402687,9.03
small,05,0.000,0.598,5.428312,9.08
small,06,0.111,0.582,5.428312,9.33
small,07,0.091,1.098,5.381312,4.90
small,08,0.300,0.591,5.413312,9.16
small,09,0.125,0.594,5.413312,9.11
small,10,0.222,0.584,5.456000,9.34
small,11,0.222,0.582,5.381312,9.25
small,12,0.250,0.600,5.477313,9.13
small,13,0.444,0.582,5.413312,9.30
small,14,0.250,0.594,5.413312,9.11
small,15,0.875,0.598,5.445312,9.11
small,16,0.818,0.594,6.381312,10.74
small,17,0.273,0.596,6.338687,10.64
small,18,0.800,0.605,6.317312,10.44
small,19,0.000,1.103,10.868313,9.85
small,20,0.158,0.576,6.345625,11.02
small,21,0.077,0.602,6.338687,10.53
small,22,0.158,0.573,10.826688,18.89
small,23,1.000,0.605,4.543000,7.51
small,24,0.000,0.596,2.701312,4.53
small,25,0.167,0.599,5.439000,9.08
medium,01,0.077,1.623,5.402687,3.33
medium,02,0.000,1.094,5.396312,4.93
medium,03,0.000,1.089,5.413312,4.97
medium,04,0.000,1.606,5.402687,3.36
medium,05,0.000,1.609,5.428312,3.37
medium,06,0.333,1.095,5.428312,4.96
medium,07,0.000,1.607,5.381312,3.35
medium,08,0.200,1.603,5.413312,3.38
medium,09,0.125,1.611,5.413312,3.36
medium,10,0.222,1.614,5.456000,3.38
medium,11,0.222,1.611,5.381312,3.34
medium,12,0.000,1.084,5.477313,5.05
medium,13,0.444,1.596,5.413312,3.39
medium,14,0.375,1.613,5.413312,3.36
medium,15,0.750,1.091,5.445312,4.99
medium,16,0.727,1.079,6.381312,5.91
medium,17,0.364,1.612,6.338687,3.93
medium,18,0.733,1.096,6.317312,5.76
medium,19,0.000,1.607,10.868313,6.76
medium,20,0.053,1.606,6.345625,3.95
medium,21,0.077,1.595,6.338687,3.97
medium,22,0.158,1.596,10.826688,6.78
medium,23,1.000,1.583,4.543000,2.87
medium,24,0.000,1.092,2.701312,2.47
medium,25,0.167,1.087,5.439000,5.00
turbo,01,0.077,1.601,5.402687,3.37
turbo,02,0.000,1.602,5.396312,3.37
turbo,03,0.000,1.596,5.413312,3.39
turbo,04,0.000,1.592,5.402687,3.39
turbo,05,0.000,1.594,5.428312,3.41
turbo,06,0.000,1.592,5.428312,3.41
turbo,07,0.000,1.584,5.381312,3.40
turbo,08,0.300,1.590,5.413312,3.40
turbo,09,0.125,1.590,5.413312,3.40
turbo,10,0.111,1.590,5.456000,3.43
turbo,11,0.222,1.599,5.381312,3.37
turbo,12,0.000,1.600,5.477313,3.42
turbo,13,0.444,1.600,5.413312,3.38
turbo,14,0.500,1.584,5.413312,3.42
turbo,15,0.875,1.601,5.445312,3.40
turbo,16,0.727,1.590,6.381312,4.01
turbo,17,0.182,1.597,6.338687,3.97
turbo,18,0.867,1.587,6.317312,3.98
turbo,19,0.000,1.596,10.868313,6.81
turbo,20,0.053,1.595,6.345625,3.98
turbo,21,0.000,1.595,6.338687,3.97
turbo,22,0.158,1.593,10.826688,6.80
turbo,23,1.000,1.585,4.543000,2.87
turbo,24,0.000,1.092,2.701312,2.47
turbo,25,0.167,1.592,5.439000,3.42
turbo-q5,01,0.077,1.093,5.402687,4.94
turbo-q5,02,0.000,1.091,5.396312,4.95
turbo-q5,03,0.000,1.090,5.413312,4.97
turbo-q5,04,0.000,1.086,5.402687,4.97
turbo-q5,05,0.000,1.096,5.428312,4.95
turbo-q5,06,0.000,1.096,5.428312,4.95
turbo-q5,07,0.091,1.084,5.381312,4.96
turbo-q5,08,0.200,1.087,5.413312,4.98
turbo-q5,09,0.125,1.116,5.413312,4.85
turbo-q5,10,0.111,1.106,5.456000,4.93
turbo-q5,11,0.222,1.099,5.381312,4.90
turbo-q5,12,0.000,1.100,5.477313,4.98
turbo-q5,13,0.444,1.096,5.413312,4.94
turbo-q5,14,0.500,1.101,5.413312,4.92
turbo-q5,15,0.875,1.109,5.445312,4.91
turbo-q5,16,0.727,1.101,6.381312,5.80
turbo-q5,17,0.182,1.102,6.338687,5.75
turbo-q5,18,0.867,1.097,6.317312,5.76
turbo-q5,19,0.000,1.079,10.868313,10.07
turbo-q5,20,0.053,1.093,6.345625,5.81
turbo-q5,21,0.000,1.109,6.338687,5.72
turbo-q5,22,0.158,1.080,10.826688,10.02
turbo-q5,23,1.000,1.105,4.543000,4.11
turbo-q5,24,0.000,1.100,2.701312,2.46
turbo-q5,25,0.167,1.110,5.439000,4.90
